4 Supplementary Tables

Table S1. Protein half-life measurements of bleach-chase and pulse-chase agree.
We measured the half-lives of six proteins using bleach-chase (no. of day-to-day repeats ≥ 3) and radioactive pulse-chase (no. of day-to-day repeats ≥ 2) (for details see Methods). The difference between the two methods was assessed using the following formula (\(|T^{bleach-chase}_{1/2} - T^{pulse-chase}_{1/2}|\) / \((T^{bleach-chase}_{1/2} + T^{pulse-chase}_{1/2}) / 2\). Average difference was 10%.

| Gene Symbol | Bleach-chase \(T_{1/2}\) (hours) | Pulse-chase \(T_{1/2}\) (hours) | Difference (%) |
|-------------|----------------------------------|---------------------------------|----------------|
| STMN1       | 3.9 ± 0.6                        | 3.7 ± 0.5                       | 5%             |
| MYH9        | 6.4 ± 0.6                        | 5.7 ± 0.6                       | 12%            |
| RPS3A       | 6.7 ± 0.9                        | 6.6 ± 0.3                       | 1%             |
| TXN1        | 8.6 ± 1.6                        | 9.8 ± 0.5                       | 13%            |
| DDX5        | 8.7 ± 1.0                        | 9.6 ± 0.4                       | 10%            |
| K-α-1       | 15.3 ± 2.4                       | 18.9 ± 4.5                      | 21%            |
| DDX18       | 22.5 ± 1.4                       | >22.5                           | NA             |

13
